szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
Beck Mihály - Peschka Vilmos (főszerk.) ; Élesztős László (szerk.),Akadémiai kislexikon 1-2. köt.,030 A31,,Akadémiai,1989-1990,kézikönyv,http://nektar.oszk.hu/hu/manifestation/582924,
,"Általános műveltség képes szótára, Az : Reader's Digest válogatás",030 A50,,Reader's Digest K.,2001,kézikönyv,http://nektar.oszk.hu/hu/manifestation/907344,
"Biedermann, Hans",Szimbólumlexikon,030 B63,,Corvina,1996,művelődéstörténet; művészet; hagyomány; kézikönyv,http://nektar.oszk.hu/hu/manifestation/177520,
Berza László (főszerk.),Budapest lexikon 1-2. köt.,030 B92,,Akadémiai,1993,honismeret; kézikönyv,http://nektar.oszk.hu/hu/manifestation/50947,
"Crystal, David (szerk.)",Cambridge enciklopédia,030 C11,,Maecenas,1992,kézikönyv,http://nektar.oszk.hu/hu/manifestation/19327,
Heinrich Gusztáv (szerk.),Egyetemes irodalomtörténet 1-4. köt.,030 E29,,Franklin,1903-1911,világirodalom története; kézikönyv,http://nektar.oszk.hu/hu/manifestation/3172248,
"Kon, Igor Szemjonovics (szerk.)",Etikai kislexikon,030 E96,,Kossuth,1984,kézikönyv,http://nektar.oszk.hu/hu/manifestation/794248,
Jónás Endre - Szondy Viktor,Diplomáciai lexikon,030 J70,,Kulcsár Ny.,1947,kézikönyv,http://nektar.oszk.hu/hu/manifestation/2956465,
Bangha Béla SJ (szerk.),Katolikus lexikon 1-4. köt.,030 K24,,M. Kultúra,1931-1933,katolikus egyház; kézikönyv,http://nektar.oszk.hu/hu/manifestation/3140747,
"Schütz, Christian (szerk.)","Keresztény szellemiség lexikona, A",030 K40,,Szt. István Társ.,1993,kézikönyv,http://nektar.oszk.hu/hu/manifestation/45747,
Kenyeres Ágnes (főszerk.),Kulturális kisenciklopédia,030 K97,,Kossuth,1986,kultúra; oktatás; művészet; társadalomtudomány; művelődéstörténet; kézikönyv,http://nektar.oszk.hu/hu/manifestation/600951,
,"Kultúra világa, A 01. köt. A világmindenség; Az élő világ; Az egészséges ember",030 KV 01,,Minerva,1959,csillagászat; biológia; növénytan; állattan; orvostudomány; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2851265,
"Gellért Oszkár, ifj. - Lukács Ernőné (szerk.)","Kultúra világa, A 02. köt. Technika",030 KV 02,,Minerva,1959,fizika; kémia; mérnöki tudományok; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2851269,
,"Kultúra világa, A 03. köt. A képzőművészetek; A színház és a film; A zene",030 KV 03,,Minerva,1960,művészet; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2851354,
Pók Lajos - Zrinszky László - Fehér Imréné (szerk.),"Kultúra világa, A 04. köt. Irodalom; Filozófia; Nevelés",030 KV 04,,Minerva,1960,pedagógia; pszichológia;kézikönyv,http://nektar.oszk.hu/hu/manifestation/2851367,
Vécsey Zoltán - Márkus László (szerk.),"Kultúra világa, A 05. köt. A Föld országai; Az emberiség története",030 KV 05,,Minerva,1960,földrajz; egyetemes történelem; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2851385,
Králik Dezső (szerk.) - Öveges József - Forbáth Róbert,"Kultúra világa, A 06. köt. Matematika; Fizika; Kémia",030 KV 06,,Közgazd. és Jogi Kvk.,1964,természettudomány; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2890967,
"Neu Piroska, B. (szerk.)","Kultúra világa, A 10. köt. A technika fejlődése",030 KV 10,,Közgazd. és Jogi Kvk.,1966,fizika; kémia; mérnöki tudományok; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2891004,
Kampis Antal,"Kultúra világa, A 03. köt. A képzőművészetek története",030 KV 03,,Közgazd. és Jogi Kvk.,1963,művészet; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2890911,
Verbényi István - Arató Miklós Orbán (szerk.),Liturgikus lexikon,030 L73,,Kairosz - Szt. István Társ.,2001,liturgia; kézikönyv,http://nektar.oszk.hu/hu/manifestation/910086,
Verbényi István - Arató Miklós Orbán (szerk.),Liturgikus lexikon : A katolikus egyház liturgiája,030 L73,,Ecclesia,1989,liturgia; kézikönyv,http://nektar.oszk.hu/hu/manifestation/674044,
Diós István - Viczián János (szerk.),Magyar katolikus lexikon 1-17. köt.,030 M14,, Szt. István Társ.,1993-2014,általános lexikon; kézikönyv,http://nektar.oszk.hu/hu/manifestation/81507,
Ákos Károly (szerk.),Mindenki lexikona 1-2. köt.,030 M69,,Akadémiai,1974,kézikönyv,http://nektar.oszk.hu/hu/manifestation/1269422,
Éber László (szerk.),"Művészeti lexikon : építészet, szobrászat, festészet, iparművészet",030 M99,,Győző A.,1926,kézikönyv,http://nektar.oszk.hu/hu/manifestation/1595802,
Pecz Vilmos (szerk.),Ókori lexikon 1-4. köt.,030 O16,,Könyvért,1984-1985,művelődéstörténet; régészet; kézikönyv,http://nektar.oszk.hu/hu/manifestation/536358,
,"Pesti Hírlap lexikona, A : a mindennapi élet és az összes ismeretek kézikönyve egy kötetben : A-Z",030 P59,,Pesti Hírlap,1937,kézikönyv,http://nektar.oszk.hu/hu/manifestation/1553020,
Szentmihályi Szabó Péter (összeáll.),Polgári politikai lexikon,030 P79,,Kairosz,2008,magyar történelem; politológia; belpolitika; Magyarország; esszék; életrajzok; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2800809,
Staud Géza (szerk.),Színházi kislexikon,030 Sz82,,Gondolat,1969,színházművészet; kézikönyv,http://nektar.oszk.hu/hu/manifestation/1056904,
Görföl Tibor - Kránitz Mihály,Teológusok lexikona,030 T43,,Osiris,2002,vallástudomány; teológiatörténet; életrajzok; kézikönyv,http://nektar.oszk.hu/hu/manifestation/947456,
Erdey-Grúz Tibor (főszerk.),Természettudományi lexikon 1-7. köt. (csak 6),030 T46,,Akadémiai,1964-1976,kézikönyv,http://nektar.oszk.hu/hu/manifestation/796072,
,Természettudományi kisenciklopédia,030 T46,,Gondolat,1975,kézikönyv,http://nektar.oszk.hu/hu/manifestation/1424915,
