Abe Kóbó,"Homok asszonya, A",A11,Kriterion,1979,http://nektar.oszk.hu/hu/manifestation/588276
Aczél János - Semsei Jenő,Sólyom a sasfészekben,Krimi A19,Zrínyi,1986,http://mokka.hu/mokka/record/MOKKAS0001455476
"Adamson, Joy",Elza és kölykei,Term. A21,Gondolat,1964,http://mokka.hu/mokka/record/MOKKAS0000550943
"Ágoston, Szent (Augustinus Aurelius)",Vallomások,"Életr. Ágoston, Szt",Gondolat,1982,http://nektar.oszk.hu/hu/manifestation/659117
"Ágoston, Szent (Augustinus Aurelius)",Szent Ágoston elmélkedései,Elmélk. A95,Hesz,1928,http://nektar.oszk.hu/hu/manifestation/1551998
"Ágoston, Szent (Augustinus Aurelius)",Szent Ágoston vallomásai ,Lelk. A95,Ecclesia,1974,http://nektar.oszk.hu/hu/manifestation/1270131
"Alarcón, Pedro Antonio de","Háromszögletű kalap; Méregzsák kapitány, A",Olcsó A33,Szépirodalmi,1957,http://mokka.hu/mokka/record/MOKKAS0000442887
"Aldrich, B. S.",És lámpást adott kezembe az Úr,A36,Szent István Társ.,1987,http://mokka.hu/mokka/record/MOKKAZ0003184701
"Aldrich, B. S.",Száll a fehér madár,A36,Szent István Társ.,1987,http://mokka.hu/mokka/record/MOKKAS0003401426
"Alfonz, Liguori Szent",Legyen meg a te akaratod,"Életr. Alfonz, Liguori Szt","Kis Jeromos, Marosvásárhely",1996,
"Általános Püspöki Szinódus, II.","Szolgálati papság, A",Egyh. dok. Szinódus,Szent István Társ.,1972,http://mokka.hu/mokka/record/MOKKAI0008237618
Ambrus Zoltán,Giroflé és Girofla,A53,Szépirodalmi,1959,http://mokka.hu/mokka/record/MOKKAS0003714760
"André, Marius",Kolumbusz Kristóf igaz kalandja,Tört. A60,Genius,1928,http://mokka.hu/mokka/record/MOKKAS0001043229
"Andrzejewski, Jerzy",Hamu és gyémánt,A60,Európa,1975,http://mokka.hu/mokka/record/MOKKAW0005354679
Antalffy Tibor,Mi volt előbb? Isten vagy ősrobbanás,Term. A67,Novella,2003,http://mokka.hu/mokka/record/MOKKAZ0006462354
"Antonova, K.A.-Levin, G.M.-Kotovszkij, G.G.",India története,Tört. A69,Gondolat-Kossuth,1981,http://mokka.hu/mokka/record/bibMOK00002431
Arany János,Arany János összes költeményei I-II.,Vers A76,Szépirodalmi,1967,http://mokka.hu/mokka/record/MOKKAS0003750447
"Arnaud, Georges","Félelem bére, A",Krimi A84,Kossuth,1979,http://mokka.hu/mokka/record/MOKKAZ0006249016
Aszlányi Károly,"Északi Park felfedezése, Az",Ifj. A90,Franklin,1936,http://mokka.hu/mokka/record/MOKKAS0000773309
Asztalos Ildikó (szerk.),Hazajöttünk. Pünkösd Csíksomlyón,Lelk. H46,"Gloria, Kolozsvár",1992,http://mokka.hu/mokka/record/MOKKAZ0006421115
"Babajevszkij, Szemjon",Aranycsillag lovagja,B10,Új Magyar Könyvkiadó,1951,http://mokka.hu/mokka/record/MOKKAS0000603832
Babits Mihály,Babits Mihály összes versei : 1902-1937,Vers B11,Athenaeum,1937,http://mokka.hu/mokka/record/MOKKAS0002369193
Bády Ferenc,"Örök ádvent felé, Az… Válogatott cikkek, meditációk",Elmélk. B13,Ecclesia,1984,http://mokka.hu/mokka/record/MOKKAZ0006278574
"Baier, Michael",Testestől lelkestől I-II.,B13,Szent István Társ.,1993,http://mokka.hu/mokka/record/MOKKAS0001387014
Bajtai Zsigmond,Találkozásaink Jézussal. Hittankönyv ált. isk. IV. o.,Katek. B14,Pécsi Püspökség,1994,http://tinyurl.com/kycnsr5
Bajtai Zsigmond,Jézus evangéliuma a négy evangélista tanúsága alapján,Katek. B14,Véméndi R.K. Plébánia,1991,http://nektar.oszk.hu/hu/manifestation/220254
Bajtai Zsigmond,Régtől szólt hozzánk az Úr. Ószövetség. Hittankönyv ált. isk. V. o.,Katek. B14,Véméndi R.K. Plébánia,1991,http://mokka.hu/mokka/record/MOKKAZ0006344899
Baktay Ervin,Kőrösi Csoma Sándor,Életr. Kőrösi Csoma,Gondolat,1963,http://nektar.oszk.hu/hu/manifestation/1248010
Balássy László,"Szeretet tanúja, A : Kaszap István élete",Életr. Kaszap István,Ecclesia,1986,http://nektar.oszk.hu/hu/manifestation/673842
Balássy László,Mindig hűségesen : Bogner Mária Margit élete,Életr. Bogner Mária Margit,"Egyházmegyei Hatóság, Székesfehérvár",1985,http://nektar.oszk.hu/hu/manifestation/505869
Balássy László,"Apor Vilmos, a vértanú püspök",Életr. Apor Vilmos,Ecclesia,1989,http://mokka.hu/mokka/record/MOKKAZ0006278605
Balázs Béla,Mi az idő?,Term. B18,Gondolat,1980,http://mokka.hu/mokka/record/MOKKAS0003263380
Balázs Ferenc,Zöld árvíz,B19,Révai,1937,http://mokka.hu/mokka/record/MOKKAS0000798354
Balics Lajos,"Római katolikus egyház története Magyarországban, A",Egyhtört. B20,Athenaeum,1885,http://mokka.hu/mokka/record/MOKKAS0000773299
Bálint B. András,Mint a szarvas a folyóvizekre,Szociol. B20,Magvető,1985,http://nektar.oszk.hu/hu/manifestation/620621
Bálint István János (szerk.),Kincses Kolozsvár I-II.,Műv. K46,Magvető,1987,http://mokka.hu/mokka/record/MOKKAZ0006264067
"Balzac, Honoré de","Gobseck; Facino Cane, a vörös kocsma és Pierre Grassou",Olcsó B26,Szépirodalmi,1956,http://mokka.hu/mokka/record/MOKKAS0002260299
"Balzac, Honoré de","Élet iskolája, A - Éva lánya",B26,Európa,1960,http://mokka.hu/mokka/record/MOKKAS0000478845
"Balzac, Honoré de","Falusi plébános, A",B26,Európa,1958,http://mokka.hu/mokka/record/MOKKAS0000474261
"Balzac, Honoré de",Elveszett illúziók III.,Olcsó B26,Szépirodalmi,1960,http://mokka.hu/mokka/record/MOKKAS0000444750
"Balzac, Honoré de",Eugénie Grandet,Olcsó B26,Szépirodalmi,1957,http://mokka.hu/mokka/record/MOKKAS0000442692
"Balzer, Wolfgang (vál.)","Drezdai képtár, A",Műv. D91,Képzőművészeti Alap,1960,http://mokka.hu/mokka/record/MOKKAS0000573778
Bangha Béla SJ,Világnézeti válaszok. Korszerű vallási kérdések és ellenvetések megvilágítása,Katek. B27,Pázmány Péter Irodalmi Társaság,1940,http://mokka.hu/mokka/record/MOKKAZ0004287260
Bangha Béla SJ,Képek a Jézustársaság történetéből,Egyhtört. B27,Pázmány Péter Irodalmi Társaság,1940,http://mokka.hu/mokka/record/MOKKAS0000834198
Bangha Béla SJ,Világhódító kereszténység. A társadalom visszavezetése Krisztushoz,Lelkipászt. B27,Pázmány Péter Irodalmi Társaság,1940,http://mokka.hu/mokka/record/MOKKAS0000830522
Bangha Béla SJ,Jézus istenségének bizonyítékai,Dogma B27,Magyar Kultúra,1944,http://mokka.hu/mokka/record/MOKKAI0008371375
Bánk József (﻿összegyűjt.﻿),Fegyelem és kegyelem,Antol. B28,Szent István Társ.,1973,http://nektar.oszk.hu/hu/manifestation/1266986
Bánk József (szerk.),Váci egyházmegyei almanach II.,Egyhtört. V10,Váci Egyházmegyei Hatóság,1980,http://tinyurl.com/c4v398t
Bánk József (szerk.),"Egri főegyházmegye schematismusa az 1975. szentévben, Az",Egyhtört. E22,Egri Főegyházmegyei Hatóság,1975,http://nektar.oszk.hu/hu/manifestation/1007286
Barabás Tibor,Kereszt a hegytetőn,B29,Szépirodalmi,1973,http://mokka.hu/mokka/record/MOKKAN0004065484
"Barbarić, Slavko","Szeretet iskolája, A : [Medjugorje]",Lelk. B32,Marana Tha 2000,1994,http://nektar.oszk.hu/hu/manifestation/157250
Bárdi Ödön,Thália mosolya,Szính. B33,Gondolat,1960,http://mokka.hu/mokka/record/MOKKAN0004681729
"Baring, Maurice",Krisztus köntöse I.,B33,Franklin,1935,http://mokka.hu/mokka/record/MOKKAI0008953016
Barna Jónás,Feltámadt hősök (Kályhafűtőből bíboros). Történetek a német és török pusztítások idejéből,Ifj. B34,Magyar Kereskedelmi Közlöny,191?,http://mokka.hu/mokka/record/MOKKAS0002257703
"Barreau, Jean-Claude","Örömhír, Az",Elmélk. B34,Ecclesia,1989,http://mokka.hu/mokka/record/MOKKAZ0006278589
Barsi Balázs - Telek Péter Pál,Magasság és mélység. Szentírási elmélkedések. 4. évközi idő 24-37. hét,Elmélk. B35,Alfadat Press,2002,http://mokka.hu/mokka/record/MOKKAZ0006389778
Bársony István,Délibáb. Elbeszélések,B35,Singer,1927,http://mokka.hu/mokka/record/MOKKAS0000798329
"Beck, Eleonore",Isten szól gyermekeihez. Szövegek a Bibliából,Ifj. B43,Verbo Divino,1992,http://mokka.hu/mokka/record/MOKKAZ0006420968
Békés Gellért,Istenkeresés. Új utak a mai teológiában,Dogma B45,Szent Gellért Hittud. Főisk.,1991,http://mokka.hu/mokka/record/MOKKAZ0003200466
Bél Mátyás,Buda visszavívásáról,Tört. B46,Zrínyi,1986,http://mokka.hu/mokka/record/MOKKAZ0006276654
Belon Gellért,Bibliai elmélődések : Összegyűjtött dolgozatok,Elmélk. B46,Szent István Társ.,1987,http://nektar.oszk.hu/hu/manifestation/673335
Belon Gellért,Jézus lelkülete,Elmélk. B46,Szent István Társ.,1984,http://mokka.hu/mokka/record/MOKKAZ0006278191
Bende Ibolya,Halálra várva,Krimi B47,Közgazd. és Jogi,1987,http://mokka.hu/mokka/record/MOKKAZ0006270722
Benedek István,Beszélgetés ideges emberekről,Eü. B49,Medicina,1963,http://mokka.hu/mokka/record/MOKKAS0000487320
"Benedek, XVI. ﻿pápa﻿ (Joseph Ratzinger)","Föld sója, A : kereszténység és Katolikus Egyház az ezredfordulón : beszélgetés Peter Seewalddal","Életr. Benedek, XVI.",Szent István Társ.,1997,http://nektar.oszk.hu/hu/manifestation/238237
"Benedek, XVI. ﻿pápa﻿ (Joseph Ratzinger)",Spe salvi kezdetű enciklikája a keresztény reményről,"Egyh. dok. Benedek, XVI.",Szent István Társ.,2008,http://mokka.hu/mokka/record/MOKKAW0005763904
"Benedek, XVI. ﻿pápa﻿ (Joseph Ratzinger)","Beszédei Kölnben, a XX. Ifjúsági Világnap alkalmából","Egyh. dok. Benedek, XVI.",Szent István Társ.,2005,http://mokka.hu/mokka/record/MOKKAS0002089737
"Benedek, XVI. ﻿pápa﻿ (Joseph Ratzinger)",Látogatása Lengyelországban 2006. máj. 25-28.,"Egyh. dok. Benedek, XVI.",Szent István Társ.,2006,http://mokka.hu/mokka/record/MOKKAN0004634587
"Benedek, XVI. ﻿pápa﻿ (Joseph Ratzinger)",Deus caritas est kezdetű enciklikája a keresztény szeretetről,"Egyh. dok. Benedek, XVI.",Szent István Társ.,2007,http://mokka.hu/mokka/record/MOKKAN0004469450
"Benedek, XVI. ﻿pápa﻿ (Joseph Ratzinger)",Caritas in veritate kezdetű enciklikája az ember teljes értékű fejlődéséről a szeretetben és az igazságban,"Egyh. dok. Benedek, XVI.",Szent István Társ.,2009,http://mokka.hu/mokka/record/MOKKAI0008926097
"Benesch, Kurt","Sivatag szentje, A. Charles de Foucauld élete",Életr. Foucauld,Ecclesia,1991,http://mokka.hu/mokka/record/MOKKAS0001350065
Benkő Ágota (szerk.),"Család megtartó erő, A. A III. családkongresszus előadásai. Bp., 1996. VI. 21-23.",Szociol. C36,Nagycsaládosok Országos Egyesülete,1996,http://mokka.hu/mokka/record/MOKKAZ0006345865
"Benkóczi Dániel, Keken András (összeáll.)",Amit minden evangélikusnak tudnia kell,Katek. A55,Üzenet,1943,http://nektar.oszk.hu/hu/manifestation/3161490
"Benter, B. T. (Bornemissza Tamás)","Hóhér jussa, A",Krimi B51,IPV,1987,http://mokka.hu/mokka/record/MOKKAI0008664932
Berend Miklósné,Hadiárvák,B54,Nova,1938,http://mokka.hu/mokka/record/MOKKAS0000812715
"Bergman, Ingmar",Laterna magica,Életr. Bergman,Európa,1988,http://mokka.hu/mokka/record/MOKKAS0003242186
Berkesi András,"Tanút meg kell ölni, A",Krimi B55,Nótárius,1992,http://mokka.hu/mokka/record/MOKKAZ0006309939
Berkesi András,Bűnös vagy áldozat,Krimi B55,Nótárius,1993,http://mokka.hu/mokka/record/MOKKAZ0006308527
Berkesi András,"Bosszú, A",Krimi B55,Nótárius,1991,http://mokka.hu/mokka/record/MOKKAZ0006298610
Berkesi András,Sellő a pecsétgyűrűn,B55,Magvető,1985,http://mokka.hu/mokka/record/MOKKAZ0006062392
"Bernanos, Georges","Falusi plébános naplója, Egy",Lelk. B56,Szent István Társ.,1985,http://mokka.hu/mokka/record/MOKKAZ0006278213
"Bernanos, Georges","Sátán árnyékában, A",B56,Szent István Társ.,1985,http://mokka.hu/mokka/record/MOKKAZ0003874381
"Berra, Franco",Ferrini Contardo,Életr. Ferrini,Don Bosco Szalézi Művei,1929,http://mokka.hu/mokka/record/MOKKAS0000792532
Bertha Bulcsu,Medvetáncoltatás [Novellák],B57,Szépirodalmi,1983,http://mokka.hu/mokka/record/MOKKAZ0003941074
"Bevk, France","Föld sója, A",B60,Európa,1979,http://mokka.hu/mokka/record/MOKKAZ0006256662
Blazovich Ágoston OSB,Európa védőszentje Szent Benedek : 480-1980,"Életr. Benedek, Szt",Druck. Klischee-Industrie,1980,http://nektar.oszk.hu/hu/manifestation/1357606
Bodrog Miklós,Anyagyógyászat,Pszich. B72,Kairosz - Szent Gellért,1998,http://mokka.hu/mokka/record/MOKKAZ0006372133
"Boff, Leonardo OFM",Miatyánk,Ima B73,Ecclesia,1989,http://mokka.hu/mokka/record/MOKKAZ0006278592
Bognár Lajos - Kerényi Lajos - Rédly Elemér,Hitünk és életünk (Római katolikus hittankönyvek 5.),Katek. B74,Szent István Társ.,1975,http://nektar.oszk.hu/hu/manifestation/1424807
Bohnert Marián,Assisi Sz. Ferencz élete : 1182-1226,"Életr. Ferenc, Assisi Szt",Hunyadi Mátyás Int. Ny.,1896,http://nektar.oszk.hu/hu/manifestation/3063811
"Boissarie, Prosper-Gustave",Lourdes története orvosi szempontból : 1858-1891,Egyhtört. B75,Buzárovits Ny.,1896,http://nektar.oszk.hu/hu/manifestation/3253743
Böjte Csaba OFM,Hiszek a szeretet végső győzelmében!,Elmélk. B85,Szent Gellért,2007,http://nektar.oszk.hu/hu/manifestation/2669188
Böjte Csaba OFM,Hiszek a szeretet végső győzelmében!,Elmélk. B85,Szent Gellért,2005,http://nektar.oszk.hu/hu/manifestation/2558118
Bóka László,Alázatosan jelentem I.,Olcsó B75,Szépirodalmi,1965,http://mokka.hu/mokka/record/MOKKAW0005493281
Bókay János,Bohémek és pillangók. Puccini életregénye,Életr. Puccini,Zeneműkiadó,1960,http://mokka.hu/mokka/record/MOKKAS0000481040
"Bókay János, ifj.",Miska és Peti. Versek,Ifj. B75,Pantheon,1922,http://nektar.oszk.hu/hu/manifestation/2998509
Bokor Pál,"Kínai nyár, Egy",Földr. B75,Kossuth,1980,http://mokka.hu/mokka/record/MOKKAS0003253809
Bolberitz Pál,Minek gyónjak?,Szentség Gyónás,Ecclesia,1990,http://mokka.hu/mokka/record/MOKKAZ0006278614
"Bolberitz Pál - Gál Ferenc - Tamás, Aquinói Szent",Aquinói Szent Tamás filozófiája és teológiája - Lét és lényeg; A teológia összefoglalása,Fil. B76,Ecclesia,1987,http://mokka.hu/mokka/record/MOKKAZ0006278494
Boldizsár Iván (szerk.),Magyarország. Útikönyv,Földr. M16,IBUSZ,1955,http://mokka.hu/mokka/record/MOKKAS0003824706
Bőle Kornél,Árpádházi Boldog Margit,"Életr. Margit, Árpádházi Szt",Domonkos-rendi Zárda,1923,http://mokka.hu/mokka/record/MOKKAZ0004019877
"Böll, Heinrich",Katharina Blum elvesztett tisztessége,B85,Európa,1977,http://nektar.oszk.hu/hu/manifestation/586888
"Böll, Heinrich",Csoportkép hölggyel,B85,Kriterion-Európa,1983,http://mokka.hu/mokka/record/MOKKAS0001852841
Bonitz Ferenc,Gróf Zichy Nándor. Élet- és jellemrajz,Életr. Zichy Nándor,Szent István Társ.,1912,http://mokka.hu/mokka/record/MOKKAZ0004016934
Boros Ferenc (szerk.),Verses Szentírás vagy Biblia. Dürer metszeteivel,Bibl. V75,Grafolit,1995,http://mokka.hu/mokka/record/MOKKAS0003477652
Borsos Miklós,"Toronyból, A. Tanulmányok, vallomások",Műv. B82,Szépirodalmi,1979,http://mokka.hu/mokka/record/MOKKAZ0006260441
"Bossis, Gabrielle",Ő meg én : Lelki beszélgetések : Bossis Gabriella naplója (csak II. köt.),Lelk. B83,Ecclesia,1989,http://nektar.oszk.hu/hu/manifestation/674031
"Bougaud, Emil","Kereszténység és korunk, A III-V.",Lelkipászt. B84,Négy pécsegyházmegyei pap,1912,http://mokka.hu/mokka/record/MOKKAZ0004171689
"Boulad, Henri SJ","Önátadás fényében, Az",Lelk. B84,Ecclesia,1994,http://nektar.oszk.hu/hu/manifestation/135184
"Boulad, Henri SJ",Jézus napjainkban,Elmélk. B84,Ecclesia,2003,http://mokka.hu/mokka/record/MOKKAZ0006471282
"Boulad, Henri SJ","Szív okossága, A. Amerre a lélek tart",Lelk. B84,Ecclesia,1988,http://mokka.hu/mokka/record/MOKKAZ0006278502
"Bourget, Paul",Szemközt a halállal,B84,Magyar Kultúra,1923,http://mokka.hu/mokka/record/MOKKAS0000780265
"Bozóky Gyula, pilismaróti","Felsőgödi Jézus Szíve templom építésének története 1923-1925, A",Egyhtört. B84,Felsőgödi R.K. Egyházközség,2000,http://mokka.hu/mokka/record/MOKKAZ0003637900
"Bradford, Roark",Ádám apánk és gyermekei,B86,Táncsics,1961,http://mokka.hu/mokka/record/MOKKAS0003731915
"Bragin, Mihail",Moszkvától Berlinig,Tört. B86,Szikra,1950,http://mokka.hu/mokka/record/MOKKAS0002353812
"Braithwaite, Edward Eustace Ricardo",Tiszteletbeli fehér,Földr. B86,Kossuth,1978,http://mokka.hu/mokka/record/MOKKAZ0006248771
"Brestyánszky Ilona, P.",Kovács Margit,Műv. B88,Képzőművészeti - Corvina,1982,http://mokka.hu/mokka/record/MOKKAW0005543157
Brodszky Ferenc,Ludwig van Beethoven életének krónikája,Életr. Beethoven,Zeneműkiadó,1971,http://mokka.hu/mokka/record/MOKKAN0004958582
"Bronte, Charlotte",Jane Eyre,B90,Európa,1959,http://mokka.hu/mokka/record/MOKKAS0000477958
"Bronte, Emily",Üvöltő szelek I-II.,Olcsó B90,Szépirodalmi,1961,http://mokka.hu/mokka/record/MOKKAS0003466586
"Brucker, Jakob","Lehre des hl. Franz von Sales von der wahren Frömmigkeit, Die",Lelk. F49,Herder,1914,http://gateway-bayern.de/BV008478262
"Brunori, Pietro","Katolikus Egyház, A. Alapok, személyek, intézmények",Jog B90,Szent István Társ.,2002,http://mokka.hu/mokka/record/MOKKAZ0006451934
"Bubalo, Janko",1000 találkozás a Szűzanyával Medugorjéban. Beszélgetés Vickával,Lelk. B91,Zupni ured,1986,http://tinyurl.com/d6c9mld
Büchner Lajos,Erő és anyag vagy: A természetes világrend alapvonalai,Term. B98,Minta-Antiquarium,1895,http://mokka.hu/mokka/record/MOKKAZ0004497490
"Bühler, Klara",Reggel és este Istennel,Ima B98,OMC,1976,http://mokka.hu/mokka/record/MOKKAS0000597214
"Bühne, Wolfgang (közread.)","Becsapottak vágyakozása, A. Bizonyságtételek",Pszich. B98,Primo-Evangéliumi,1988,http://mokka.hu/mokka/record/MOKKAZ0006238751
Bukovinszky Julianna,Ezer jó fű,Eü. B96,Kossuth,1992,http://mokka.hu/mokka/record/MOKKAZ0006305119
"Bull, George","Vatikán belülről, A",Egyhtört. B96,Ecclesia,1988,http://mokka.hu/mokka/record/MOKKAZ0003219933
"Bulwer-Lytton, Edward",Pompeji utolsó napjai,B96,Est - Pesti Napló,1935,http://mokka.hu/mokka/record/MOKKAS0001080419
"Bulwer-Lytton, Edward",Pompeji utolsó napjai,B96,Európa,1987,http://mokka.hu/mokka/record/MOKKAN0004849931
"Bunyan, John","Zarándok útja. Bővölködő kegyelem, A",B96,Primo,1990,http://mokka.hu/mokka/record/MOKKAZ0003219945
Burger. Lizbeth,Ikrekkel kezdődött,Lelk. B96,Élet,198?,http://mokka.hu/mokka/record/MOKKAS0000667463
"Bursaci, Catalin",Első könyv - utolsó könyv,B97,Albatrosz,1980,http://mokka.hu/mokka/record/MOKKAS0003433644
Buzsáky Imre,Gyakorlati hitelemzések a róm. kath. népiskolák alsó osztályaiban,Katek. B97,Dunántúl ny.,1928,http://mokka.hu/mokka/record/MOKKAS0000824466
"Calzini, Raffaele",Villámlik Szent Ilona felől,C11,Hungária,1943,http://nektar.oszk.hu/hu/manifestation/2947897
"Campbell, Ross","Szülői hivatás, A",Ped. C11,Harmat,1997,http://mokka.hu/mokka/record/MOKKAZ0006356418
"Capek, Karel","Betörők, bírák, bűvészek",C12,Európa,1957,http://mokka.hu/mokka/record/MOKKAS0000471739
"Capek, Karel","Betörők, bírák, bűvészek és társaik",Olcsó C12,Szépirodalmi,1959,http://mokka.hu/mokka/record/MOKKAS0000444429
"Cardenal, Ernesto","Solentinamei evangélium, A",Bibl. C12,Magvető,1985,http://mokka.hu/mokka/record/MOKKAZ0006263735
"Carr, Allen",Nikotinstop! Szabadulás egy káros szenvedélytől,Eü. C12,Charta Kft.,1992,http://mokka.hu/mokka/record/MOKKAZ0006303169
"Carretto, Carlo","Miért, Uram, miért? : szenvedés: a századok elrejtett titka",Lelk. C12,Szt. Gellért,1992,http://nektar.oszk.hu/hu/manifestation/46210
"Carretto, Carlo","Én, Ferenc","Életr. Ferenc, Assisi Szt",Agapé (Újvidék),1989,http://mokka.hu/mokka/record/MOKKAZ0006414859
"Carretto, Carlo","Boldog vagy, mert hittél",Elmélk. C12,OMC,1987,http://mokka.hu/mokka/record/MOKKAZ0006411849
"Carretto, Carlo",Városban pusztai magányod. Indítások a szemlélődő imára,Ima C12,OMC,1981,http://mokka.hu/mokka/record/MOKKAS0000598059
"Cassianus, Johannes",De institutis coenobiorum,Szerzet C12,ELTE,1980,http://mokka.hu/mokka/record/MOKKAZ0006283178
"Cassim, R. (Farkas Imre)",Vihar a Szentföldön,C12,Fővárosi,1943,http://mokka.hu/mokka/record/MOKKAI0009401613
"Chaplin, Charles",Életem,Életr. Chaplin,Európa,1967,http://mokka.hu/mokka/record/MOKKAZ0003272685
"Chase, James Hadley","Biztosabb, ha meghal",Krimi C16,Magvető,1983,http://mokka.hu/mokka/record/MOKKAZ0006273790
"Chesterton, Gilbert Keith",Páter Brown ártatlansága,Krimi C17,Szent István Társ.,1988,http://mokka.hu/mokka/record/MOKKAZ0003924999
"Chesterton, Gilbert Keith",Hagyományok és hazugságok,Fil. C17,Révai,1920,http://mokka.hu/mokka/record/MOKKAS0003312360
"Chesterton, Gilbert Keith",Aquinói Szent Tamás,"Életr. Tamás, Aquinói Szt",Szent István Társ.,1986,http://mokka.hu/mokka/record/MOKKAI0008992145
"Christen, Hermann",Út az örök hazába,Elmélk. C20,Primo-Evangéliumi,1991,http://mokka.hu/mokka/record/MOKKAZ0006214687
"Christie, Agatha",Cipruskoporsó,Krimi C20,Európa,1981,http://nektar.oszk.hu/hu/manifestation/589565
"Christie, Agatha","Ackroyd-gyilkosság, Az",Krimi C20,Magvető,1974,http://mokka.hu/mokka/record/MOKKAS0000509899
"Christie, Agatha",Öt kismalac,Krimi C20,Európa,1973,http://mokka.hu/mokka/record/MOKKAS0000506773
"Ciardi, Fabio","Te igéd tűz, A. Hogyan éljük az evangéliumot?",Lelk. C21,Új Város,2009,http://tinyurl.com/csg8k57
"Clark, Hulda Regehr",Meggyógyulhatsz. A betegségek valódi okai és gyógymódjai I-II.,Eü. C23,Leviter,2005,http://mokka.hu/mokka/record/MOKKAS0002090453
"Clark, Mary Higgins","Leselkedő, A",Krimi C23,Magvető,1990,http://mokka.hu/mokka/record/MOKKAZ0006264727
"Claudel, Paul","Buch Job, Das",Bibl. C23,Bastion,1948,http://tinyurl.com/6w5ty45
"Claudel, Paul","Selyemcipő, A",Szính. C23,Pázmány Péter Irod. Társ.,1935,http://mokka.hu/mokka/record/MOKKAZ0003585631
"Claudel, Paul",Válogatás Paul Claudel műveiből,Szính. C23,Szent István Társ.,1982,http://mokka.hu/mokka/record/MOKKAS0003431968
"Colerus, Egmont","Ponttól a négy dimenzióig, A. Amit a geometriából mindenkinek tudnia kell",Term. C24,Franklin,1946,http://mokka.hu/mokka/record/MOKKAS0001319399
"Comisso, Giovanni",Velencei kémek,Krimi C25,Helikon,1982,http://mokka.hu/mokka/record/MOKKAW0005481206
"Connor, John David",Ragály,Krimi C26,JLX,1992,http://mokka.hu/mokka/record/MOKKAZ0006308855
